Message ID,Sentiment,Sentiment Category
1276318127474479136,0.0,Neutral
1276304160190496881,0.0,Neutral
1276304060152287283,0.0,Neutral
1276304060152287283,0.0,Neutral
1276304060152287283,0.0,Neutral
1276302656352288810,0.0,Neutral
1276302579516706868,0.125,Positive
1276302566078283898,0.0,Neutral
1276302536349061130,0.0,Neutral
1276302521417334825,0.0,Neutral
1276302502655954997,0.0,Neutral
1276302416215539794,0.0,Neutral
1276302323735466156,0.0,Neutral
1276302198162329752,0.0,Neutral
1276302189429788798,0.0,Neutral
1276302136430428231,0.0,Neutral
1276302128138289204,0.0,Neutral
1276302113122812015,0.0,Neutral
1276302065596895242,0.0,Neutral
1276302048513490974,0.0,Neutral
1276302004615905333,0.0,Neutral
1276301972533936158,0.0,Neutral
1276301901037699073,0.1,Positive
1276301744569319540,0.0,Neutral
1276301744569319540,0.0,Neutral
1276301744569319540,0.0,Neutral
1276301744569319540,0.0,Neutral
1276301744569319540,0.0,Neutral
1276301720116527266,0.0,Neutral
1276301691385417730,0.0,Neutral
1276301684573732875,0.0,Neutral
1276301627262767227,0.0,Neutral
1276301474313408525,0.0,Neutral
1276301297624027239,0.6000000000000001,Positive
1276301241424543845,0.0,Neutral
1276301064097894482,0.1625,Positive
1276301028903358555,0.0,Neutral
1276300990508830853,0.95,Positive
1276300990508830853,0.95,Positive
1276300925312700499,0.0,Neutral
1276300925312700499,0.0,Neutral
1276300904894693446,0.0,Neutral
1276300897416118416,0.125,Positive
1276300801396052040,0.0,Neutral
1276300727370911744,0.0,Neutral
1276300706432811028,1.0,Positive
1276300669225271337,0.0,Neutral
1276300665718706339,0.0,Neutral
1276300640917917696,0.1,Positive
1276300606184882176,0.0,Neutral
1276300592385491035,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300569484722197,0.0,Neutral
1276300534386790472,0.0,Neutral
1276300520213971065,0.0,Neutral
1276300490165981285,0.0,Neutral
1276300458620616704,0.0,Neutral
1276300449443741789,0.0,Neutral
1276300373161807945,0.0,Neutral
1276300227522990242,0.0,Neutral
1276300186892767455,0.1,Positive
1276300142302990448,0.0,Neutral
1276300131351793854,0.0,Neutral
1276300125014196325,0.3333333333333333,Positive
1276300106458464388,0.0,Neutral
1276300043896361010,0.1,Positive
1276299977517174814,0.0,Neutral
1276299945346859041,0.0,Neutral
1276299923008258078,0.0,Neutral
1276299921841983549,0.0,Neutral
1276299892108558337,-1.0,Negative
1276299823259324518,0.0,Neutral
1276299814824579134,0.1,Positive
1276299717994610711,0.3333333333333333,Positive
1276299700969930875,0.0,Neutral
1276299649082331187,0.1,Positive
1276299639473045564,0.0,Neutral
1276299526097076316,0.0,Neutral
1276299483973423164,0.0,Neutral
1276299476830650368,0.0,Neutral
1276299472456122503,0.35,Positive
1276299435512565770,0.0,Neutral
1276299414524264471,0.0,Neutral
1276299370421157888,0.0,Neutral
1276299355770327160,0.0,Neutral
1276299349948891218,0.4,Positive
1276299341262360719,0.0,Neutral
1276299280721641573,0.0,Neutral
1276299240423030825,0.0,Neutral
1276299227529609327,0.1,Positive
1276299225550028804,0.0,Neutral
1276299208223363085,-0.3,Negative
1276299184927932438,0.0,Neutral
1276299132721696828,0.0,Neutral
1276299109531259022,0.0,Neutral
1276299076308045937,0.0,Neutral
1276299048457994261,0.0,Neutral
1276299022134542357,0.0,Neutral
